Index,Year,Geo_Desc,White (Estimated),Black or African American (Estimated),American Indian and Alaska Native (Estimated),Asian (Estimated),Native Hawaiian and Other Pacific Islander (Estimated),Hispanic (Estimated),US Census Population Estimate,Total Employment (Number of Jobs),Personal Income,Personal Consumption Expenditures,Total Educational Attainment Estimate,Tot_Opioid_Clms,Tot_Clms,Opioid_Prscrbng_Rate,LA_Tot_Opioid_Clms,LA_Opioid_Prscrbng_Rate,total_opioid_prescriptions,tot_presc_opioid_od,,,,,,,,
427,2013,Florida,"15,578,260","3,487,658","192,247","648,359","47,969","4,650,935",19551678,10539527,802975.7,722610,1797134,1477965,26243364,5.63,119466,8.08,"15,422,054","2,737",,,,,,,,
428,2013,Georgia,"6,375,399","3,251,423","108,309","423,929","20,155","897,614",9975592,5497190,377202.2,317225.2,1029614,1083656,15734473,6.89,51827,4.78,"8,905,829",1396.58288,,,,,,,,
429,2013,Hawaii,"606,256","46,635","37,121","803,157","373,694","137,873",1408822,868191,62521.2,53570,136925,166393,2085367,7.98,17698,10.64,"794,191",197,,,,,,,,
430,2013,Idaho,"1,544,558","19,595","44,611","34,056","6,139","191,269",1612053,903016,58403.7,46862.6,158393,175132,2115050,8.28,16043,9.16,"1,531,196",226,,,,,,,,
431,2013,Illinois,"10,221,347","2,014,665","137,738","751,414","17,178","2,109,855",12895778,7503553,609778.6,474893,1266315,949106,16695076,5.68,39487,4.16,"7,964,906","1,805",,,,,,,,
432,2013,Indiana,"5,779,700","693,742","60,264","155,016","8,273","418,981",6570575,3684167,261702.3,211005.9,670468,971079,11136888,8.72,83140,8.56,"6,945,667",920,,,,,,,,
433,2013,Iowa,"2,902,112","129,564","29,978","80,654","4,877","168,372",3093935,2019403,134757.8,102961,318680,248968,4126178,6.03,16960,6.81,"2,182,802",433,,,,,,,,
434,2013,Kansas,"2,593,205","215,673","67,021","96,263","5,787","321,692",2894306,1868968,133979.9,96250.2,300970,79649,1090611,7.3,6747,8.47,"2,615,728",405,,,,,,,,
435,2013,Kentucky,"3,967,168","402,300","35,716","73,553","6,215","147,609",4406906,2407581,159224.8,134202,427057,262896,4978458,5.28,12198,4.64,"4,817,123",617,,,,,,,,
436,2013,Louisiana,"2,996,844","1,540,404","61,789","94,012","5,900","216,274",4626040,2642042,191497.3,147598.3,477823,715502,10841388,6.6,23057,3.22,"5,367,328",648,,,,,,,,
